iter	Passed	Remaining
0	715	357277
1	1167	290775
2	1619	268374
3	2102	260699
4	2579	255355
5	3067	252575
6	3564	251059
7	4060	249718
8	4518	246508
9	4964	243270
10	5418	240861
11	5864	238486
12	6310	236399
13	6758	234607
14	7203	232911
15	7651	231467
16	8102	230196
17	8535	228553
18	8958	226802
19	9380	225143
20	9804	223640
21	10221	222077
22	10647	220811
23	11062	219397
24	11479	218104
25	11911	217156
26	12331	216025
27	12752	214970
28	13175	213980
29	13595	212998
30	14019	212100
31	14448	211315
32	14875	210515
33	15293	209613
34	15720	208864
35	16155	208225
36	16588	207580
37	17006	206760
38	17426	205987
39	17851	205290
40	18281	204668
41	18708	204013
42	19128	203290
43	19553	202642
44	19981	202032
45	20404	201380
46	20818	200657
47	21233	199945
48	21648	199256
49	22064	198578
50	22487	197977
51	22908	197368
52	23323	196708
53	23738	196058
54	24156	195445
55	24576	194857
56	24990	194224
57	25413	193670
58	25830	193070
59	26255	192543
60	26672	191951
61	27087	191361
62	27504	190782
63	27931	190282
64	28392	190014
65	28844	189673
66	29307	189403
67	29759	189061
68	30221	188775
69	30675	188433
70	31128	188088
71	31633	188046
72	32098	187756
73	32551	187393
74	33020	187115
75	33482	186796
76	33936	186433
77	34392	186071
78	34853	185736
79	35305	185351
80	35757	184965
81	36218	184624
82	36672	184246
83	37123	183850
84	37575	183456
85	38024	183048
86	38483	182684
87	38941	182318
88	39413	182010
89	39882	181687
90	40338	181300
91	40798	180934
92	41255	180549
93	41734	180255
94	42215	179970
95	42684	179631
96	43145	179253
97	43596	178833
98	44049	178422
99	44506	178025
100	44979	177690
101	45435	177286
102	45891	176881
103	46347	176476
104	46801	176061
105	47255	175646
106	47715	175254
107	48178	174870
108	48633	174454
109	49088	174041
110	49561	173688
111	50015	173268
112	50495	172937
113	50992	172657
114	51456	172268
115	51936	171928
116	52420	171598
117	52896	171239
118	53380	170907
119	53851	170528
120	54349	170233
121	54835	169900
122	55300	169497
123	55756	169068
124	56240	168721
125	56700	168301
126	57159	167876
127	57624	167471
128	58112	167130
129	58569	166698
130	59031	166279
131	59499	165877
132	59957	165447
133	60413	165009
134	60869	164572
135	61326	164139
136	61794	163733
137	62282	163377
138	62736	162934
139	63190	162489
140	63646	162051
141	64100	161606
142	64562	161181
143	65032	160774
144	65500	160363
145	65964	159940
146	66429	159522
147	66888	159085
148	67362	158686
149	67830	158271
150	68285	157825
151	68749	157399
152	69212	156971
153	69673	156539
154	70133	156102
155	70588	155656
156	71047	155218
157	71504	154774
158	71963	154337
159	72426	153906
160	72886	153469
161	73352	153045
162	73810	152601
163	74268	152160
164	74723	151710
165	75181	151268
166	75646	150840
167	76109	150407
168	76579	149987
169	77038	149545
170	77501	149110
171	77967	148681
172	78429	148244
173	78895	147814
174	79359	147382
175	79839	146978
176	80304	146544
177	80785	146139
178	81288	145774
179	81780	145386
180	82265	144986
181	82727	144545
182	83190	144106
183	83659	143675
184	84121	143234
185	84586	142796
186	85059	142371
187	85523	141932
188	85985	141489
189	86443	141039
190	86915	140612
191	87378	140169
192	87835	139717
193	88313	139298
194	88770	138846
195	89226	138392
196	89686	137944
197	90151	137503
198	90608	137051
199	91068	136602
200	91522	136145
201	91983	135698
202	92446	135254
203	92912	134814
204	93375	134370
205	93833	133917
206	94325	133514
207	94789	133070
208	95248	132618
209	95702	132160
210	96161	131709
